| table_name            | column_name             | data_type                   | is_nullable | column_default                               |
| --------------------- | ----------------------- | --------------------------- | ----------- | -------------------------------------------- |
| answers               | id                      | uuid                        | NO          | gen_random_uuid()                            |
| answers               | question_number         | smallint                    | NO          | null                                         |
| answers               | answer                  | text                        | YES         | null                                         |
| answers               | timestamp               | timestamp without time zone | YES         | null                                         |
| answers               | email                   | text                        | NO          | null                                         |
| answers               | upload_feedback         | text                        | YES         | null                                         |
| answers               | skip_reason             | text                        | YES         | null                                         |
| answers               | updated_at              | timestamp without time zone | YES         | null                                         |
| answers               | status                  | text                        | YES         | 'pending'::text                              |
| answers               | review_mode             | boolean                     | YES         | false                                        |
| answers               | r1_path                 | text                        | YES         | null                                         |
| answers               | r2_path                 | text                        | YES         | null                                         |
| answers               | validation_status       | text                        | YES         | 'pending'::text                              |
| answers               | validation_feedback     | text                        | YES         | null                                         |
| answers               | ai_score                | numeric                     | YES         | null                                         |
| answers               | final_score             | numeric                     | YES         | null                                         |
| answers               | user_disagreement_count | integer                     | YES         | 0                                            |
| answers               | escalated               | boolean                     | YES         | false                                        |
| answers               | created_at              | timestamp with time zone    | YES         | now()                                        |
| audit_logs            | id                      | uuid                        | NO          | gen_random_uuid()                            |
| audit_logs            | email                   | text                        | NO          | null                                         |
| audit_logs            | question_number         | integer                     | NO          | null                                         |
| audit_logs            | action                  | text                        | NO          | null                                         |
| audit_logs            | old_score               | text                        | YES         | null                                         |
| audit_logs            | new_score               | text                        | YES         | null                                         |
| audit_logs            | comment                 | text                        | YES         | null                                         |
| audit_logs            | auditor                 | text                        | YES         | null                                         |
| audit_logs            | created_at              | timestamp with time zone    | YES         | now()                                        |
| auditor_help_requests | id                      | bigint                      | NO          | null                                         |
| auditor_help_requests | created_at              | timestamp with time zone    | NO          | now()                                        |
| auditor_help_requests | email                   | text                        | YES         | null                                         |
| auditor_help_requests | question_number         | smallint                    | YES         | null                                         |
| auditor_help_requests | requirement             | text                        | YES         | null                                         |
| auditor_help_requests | file_path               | text                        | YES         | null                                         |
